Name,Address,Borough,Coordinate
Radio City Post Office,"322 W 52nd St, New York, NY 10019",Manhattan,"(40.7638541, -73.9864517)"
Rcu Annex Post Office,"340 W 42nd St Fl 3, New York, NY 10036",Manhattan,"(40.7577238, -73.99196309999999)"
Rockefeller Center Post Office,"610 5th Ave Ste Conc1, New York, NY 10020",Manhattan,"(40.7582908, -73.97776879999999)"
Roosevelt Island Post Office,"694 Main St, New York, NY 10044",Manhattan,"(40.765033, -73.94631199999999)"
Times Square Post Office,"340 W 42nd St Fl 2, New York, NY 10036",Manhattan,"(40.75789, -73.99187549999999)"
Tompkins Square Post Office,"244 E 3rd St, New York, NY 10009",Manhattan,"(40.7218247, -73.9815096)"
Triborough New Post Office,"118 E 124th St, New York, NY 10035",Manhattan,"(40.8038564, -73.93882649999999)"
Tudor City Ssp Post Office,"5 Tudor City Pl Front 4, New York, NY 10017",Manhattan,"(40.7479794, -73.9708635)"
Village Post Office,"201 Varick St Front 1, New York, NY 10014",Manhattan,"(40.7280675, -74.0056795)"
Washington Bridge Post Office,"518 W 181st St, New York, NY 10033",Manhattan,"(40.8484903, -73.9320943)"
West Village Post Office,"527 Hudson St Front a, New York, NY 10014",Manhattan,"(40.734125, -74.0064417)"
Whitehall Post Office,"1 Whitehall St Front 2, New York, NY 10004",Manhattan,"(40.7036792, -74.0129778)"
Yorkville Post Office,"1617 3rd Ave, New York, NY 10128",Manhattan,"(40.78162409999999, -73.9516859)"
Allerton Post Office,"2815 White Plains Rd, Bronx, NY 10467",Bronx,"(40.8669988, -73.8676117)"
Baychester Post Office,"1525 E Gun Hill Rd, Bronx, NY 10469",Bronx,"(40.8681965, -73.84124930000002)"
Botanical Post Office,"2963 Webster Ave, Bronx, NY 10458",Bronx,"(40.8677965, -73.8832544)"
Boulevard Post Office,"1132 Southern Blvd, Bronx, NY 10459",Bronx,"(40.8274627, -73.8916141)"
Bronx Post Office,"558 Grand Concourse, Bronx, NY 10451",Bronx,"(40.8188782, -73.92652149999999)"
Bronx Gpo Annex Post Office,"1313 Inwood Ave, Bronx, NY 10452",Bronx,"(40.8387697, -73.920385)"
Castle Hill Post Office,"1163 Castle Hill Ave, Bronx, NY 10462",Bronx,"(40.83135980000001, -73.85111839999999)"
City Island Post Office,"199 City Island Ave, Bronx, NY 10464",Bronx,"(40.8435707, -73.785522)"
Clason Point Post Office,"829 Soundview Ave, Bronx, NY 10473",Bronx,"(40.82195900000001, -73.8674243)"
Co Op City Post Office,"3300 Conner St, Bronx, NY 10475",Bronx,"(40.8824896, -73.82219429999999)"
Cornell Post Office,"1950 Lafayette Ave, Bronx, NY 10473",Bronx,"(40.8216494, -73.8574356)"
Cranford Post Office,"690 E 241st St, Bronx, NY 10470",Bronx,"(40.9034226, -73.85086869999999)"
Dreiser Loop Post Office,"179 Dreiser Loop, Bronx, NY 10475",Bronx,"(40.876545, -73.8289779)"
Einstein Post Office,"127 Einstein Loop, Bronx, NY 10475",Bronx,"(40.8646006, -73.82243869999999)"
Esplanade Post Office,"2488 Williamsbridge Rd, Bronx, NY 10469",Bronx,"(40.86269739999999, -73.85753729999999)"
Fieldston Post Office,"444 W 238th St, Bronx, NY 10463",Bronx,"(40.8871214, -73.9050103)"
Fordham Post Office,"465 E 188th St, Bronx, NY 10458",Bronx,"(40.858736, -73.8907497)"
Highbridge Post Office,"1315 Inwood Ave, Bronx, NY 10452",Bronx,"(40.8387658, -73.9203213)"
Hillside Post Office,"3482 Boston Rd, Bronx, NY 10469",Bronx,"(40.87656519999999, -73.84687989999999)"
Hub Post Office,"633 Saint Anns Ave, Bronx, NY 10455",Bronx,"(40.816331, -73.912183)"
Hunts Point Post Office,"800 Manida St, Bronx, NY 10474",Bronx,"(40.8170041, -73.8888121)"
Jerome Station Post Office,"2549 Jerome Ave, Bronx, NY 10468",Bronx,"(40.8649722, -73.89979819999999)"
Kingsbridge Post Office,"5517 Broadway, Bronx, NY 10463",Bronx,"(40.8773697, -73.90635859999999)"
Melcourt Post Office,"860 Melrose Ave Front 2, Bronx, NY 10451",Bronx,"(40.8237321, -73.9138947)"
Morris Heights Post Office,"2024 Jerome Ave, Bronx, NY 10453",Bronx,"(40.8529834, -73.90764469999999)"
Morris Park Post Office,"1807 Williamsbridge Rd Front 1, Bronx, NY 10461",Bronx,"(40.8505872, -73.85181930000002)"
Morrisania Post Office,"442 E 167th St, Bronx, NY 10456",Bronx,"(40.8299607, -73.9088389)"
